startLatitude,startLongitude,endLatitude,endLongitude,distance,duration,encodedPolyline
-36.841331,174.758511,-36.842348,174.764136,655,277,hqz_Fuosi`@BA????ACRgAq@w@?gANu@H[TwAVwAXsATaARoANsATqAVs@h@i@Bu@@iAs@{@SGp@Z\b@M[KK??????
-36.848108,174.767129,-36.847008,174.769757,371,145,t{{_Fqeui`@???Ak@TiAMgAOgAU@}@N}@F}@@y@Bw@BaA?y@Du@?O??
-36.858216,174.763571,-36.857678,174.766107,549,215,zz}_Fioti`@ACKC}@y@y@eA]c@UU[k@e@g@aAy@aAi@Y_AIM??Vc@h@o@h@u@`@s@z@LjAp@Zr@DT??
-36.844934,174.769039,-36.847567,174.760705,1036,573,xg{_Foqui`@@??A@@@@@PA???h@J`An@`AL^Vf@`CUhBE`@LVb@LPGJK@ZKl@DUGj@@Rg@xBPhAd@TPDZV?A??A???????@AHC`@D@l@@z@T`EAbAE@Cl@L`@C@????A?Ib@LPy@nA?Rn@LNXf@x@t@v@FjAEz@?@??
-36.85023,174.763747,-36.852126,174.758767,778,301,|h|_Fmpti`@AC@?ZHj@@\LJCJKGW@A^k@f@Jt@R|@G\j@MxAe@b@e@|@M~@Mn@c@XAVLp@Nf@\~@v@r@l@t@Kz@Qx@WrAUtAbAr@j@h@??
-36.845347,174.764507,-36.848836,174.764156,474,174,lj{_Feuti`@E^KNr@g@z@Gp@Rr@b@hAFl@MdAf@rAPv@l@b@d@x@Kf@q@\WFQ?Q??
-36.843524,174.768567,-36.844561,174.77104,281,88,~~z_Fqnui`@DEVqA\{AVuARuAVwAPmA|@V??
-36.843923,174.763337,-36.841048,174.757786,746,231,na{_F{mti`@?Aw@W}@SeA[aA_@o@PWpASz@a@nASvAUrAS|AUnA]pASnASpA[hAOnAIjA^|@SnA@L????
-36.853138,174.756777,-36.850425,174.764832,1113,411,b{|_F{dsi`@CD????T]NuA{@y@uBaAmBs@_Bi@KC?@??s@Wa@MoBo@wBi@{Ag@GC??@@AA?@F_@XkARy@R}@Rw@AG??DEJ_Am@iA`@{Ab@yAl@w@X{A?e@Ro@h@gAXm@Eo@[mAUM??
-36.856386,174.765502,-36.855247,174.765574,135,66,lo}_Fk{ti`@EIi@Sy@SaA?k@ZKF??
-36.853018,174.77069,-36.849204,174.780385,1228,287,jz|_Fy{ui`@??VIpAKb@CLWk@}BuA{Bk@gCuAmB_Ay@cADiAS_BQkA_AVmAb@iAKWu@q@m@_Ag@aA_@sAm@wB}@_Bs@aCg@iCSsCd@iCV]??
-36.850375,174.764547,-36.853663,174.758489,852,439,zi|_Fmuti`@AAA???@?FDb@T@VAl@ObA@\?B@BCNGp@W`AO~@Up@Ux@Mt@ERY|@Gb@?@p@\p@^|@^~@Xr@`@v@ZVNEp@AD???@??L@f@PlAn@nAr@j@n@hAl@r@`@f@VBB??
-36.851801,174.768186,-36.850344,174.764949,410,231,vr|_Felui`@@@?B?@?Pd@nAFrAE|@Mp@@H?Fk@t@q@v@QX????]f@_@p@Qj@YlAc@D[Se@EA???
